code_metier;nom_inventaire;code_inventaire;nom_etablissement;adresse;code_postal;code_insee;nom_commune;code_departement;nom_departement;code_region;nom_region;etat_activite;nature_localisation;x_wgs84;y_wgs84;fiche_risque
SSP3891104;BASIAS;IDF9302049;;25 rue MARAIS des;93270;93071;SEVRAN;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891104
SSP3891062;BASIAS;IDF9302007;;32 route GONESSE de;93600;93005;AULNAY SOUS BOIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891062
SSP3894240;BASIAS;IDF9305201;STOCKAGE D'AMIANTE;13 rue SAINT-GERMAIN;93230;93063;ROMAINVILLE;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3894240
SSP3890728;BASIAS;IDF9301671;; VIVIER LE;93300;93001;AUBERVILLIERS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890728
SSP3891958;BASIAS;IDF9302908;;32 boulevard BELFORT de;93100;93048;MONTREUIL;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891958
SSP3891343;BASIAS;IDF9302289;; rue HIPPOLYTE BOYER;93000;93008;BOBIGNY;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891343
SSP3891575;BASIAS;IDF9302521;; rue GRILLES des;93500;93055;PANTIN;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891575
SSP3891648;BASIAS;IDF9302594;;92 rue PARIS de;93260;93045;LES LILAS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891648
SSP3893988;BASIAS;IDF9304949;APPLICATION DE PEINTURE ET VERNIS; rue HOCHE;93100;93048;MONTREUIL;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3893988
SSP3889771;BASIAS;IDF9300709;; route PONTOISE de;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889771
SSP3892176;BASIAS;IDF9303126;; Non renseigné;;93050;NEUILLY SUR MARNE;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3892176
SSP3891651;BASIAS;IDF9302597;;9 rue BRUYERES des;93260;93045;LES LILAS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891651
SSP3891652;BASIAS;IDF9302598;;7 rue LEON;93260;93045;LES LILAS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891652
SSP3891945;BASIAS;IDF9302895;;104 rue ROMAINVILLE;93100;93048;MONTREUIL;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891945
SSP3891946;BASIAS;IDF9302896;;85 rue PARIS de;93100;93048;MONTREUIL;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891946
SSP3891947;BASIAS;IDF9302897;;122 rue LAGNY de;93100;93048;MONTREUIL;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891947
SSP3891948;BASIAS;IDF9302898;;58 rue REPUBLIQUE de la;93100;93048;MONTREUIL;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891948
SSP3889761;BASIAS;IDF9300699;; CROIX PENCHEE La;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889761
SSP3890218;BASIAS;IDF9301159;; VERT GALANT Le;93430;93079;VILLETANEUSE;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890218
SSP3890922;BASIAS;IDF9301865;; MALADRERIE La;93350;93013;LE BOURGET;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890922
SSP3890724;BASIAS;IDF9301667;;17 Chemin LATERAL;93300;93001;AUBERVILLIERS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890724
SSP3889752;BASIAS;IDF9300690;;17 bis rue FRANCIS DE PRESSENSE;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889752
