code_metier;nom_etablissement;adresse;code_postal;code_insee;nom_commune;code_departement;nom_departement;code_region;nom_region;etat_activite;x_wgs84;y_wgs84;fiche_risque
SSP3889134;;"138 avenue PRESIDENT WILSON du, ex 138 avenue de PARIS";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3590698;48.90958;https://fiches-risques.brgm.fr/georisques/casias/SSP3889134
SSP3889135;;"140 avenue PRESIDENT WILSON du, ex 140 et 142 avenue de PARIS";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3590562;48.90974;https://fiches-risques.brgm.fr/georisques/casias/SSP3889135
SSP3889136;;153 avenue PRESIDENT WILSON du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3572416;48.909786;https://fiches-risques.brgm.fr/georisques/casias/SSP3889136
SSP3889137;;"144 avenue PRESIDENT WILSON du, ex 144 avenue de PARIS";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.360325;48.909885;https://fiches-risques.brgm.fr/georisques/casias/SSP3889137
SSP3889138;;"132 avenue PRESIDENT WILSON du, ex 132 avenue de PARIS";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3622622;48.90992;https://fiches-risques.brgm.fr/georisques/casias/SSP3889138
SSP3889148;;175 avenue PRESIDENT WILSON du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3572016;48.911495;https://fiches-risques.brgm.fr/georisques/casias/SSP3889148
SSP3889149;;"178 avenue PRESIDENT WILSON du, ex 178 avenue de PARIS ; 3 rue de la MONTJOIE";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3608034;48.911522;https://fiches-risques.brgm.fr/georisques/casias/SSP3889149
SSP3889150;;168 avenue PRESIDENT WILSON du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3587706;48.911613;https://fiches-risques.brgm.fr/georisques/casias/SSP3889150
SSP3889151;;181 avenue PRESIDENT WILSON du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3574471;48.91164;https://fiches-risques.brgm.fr/georisques/casias/SSP3889151
SSP3889152;;"170 avenue PRESIDENT WILSON du, ex 170 avenue de PARIS";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3597665;48.911755;https://fiches-risques.brgm.fr/georisques/casias/SSP3889152
SSP3889153;;"166 avenue PARIS de, actuelle avenue du PRESIDENT WILSON";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3601487;48.911873;https://fiches-risques.brgm.fr/georisques/casias/SSP3889153
SSP3889154;;172 avenue PRESIDENT WILSON du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3587434;48.9119;https://fiches-risques.brgm.fr/georisques/casias/SSP3889154
SSP3889155;;"178 avenue PRESIDENT WILSON du, ex 178 avenue de PARIS";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3592892;48.91191;https://fiches-risques.brgm.fr/georisques/casias/SSP3889155
SSP3889179;;"240 avenue PRESIDENT WILSON du, ex avenue de PARIS ; 3 rue PAUL LAFARGUE,  ex chemin du CORNILLON";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3584998;48.916496;https://fiches-risques.brgm.fr/georisques/casias/SSP3889179
SSP3889180;;"240 avenue PRESIDENT WILSON du, ex avenue de PARIS ; 3 rue PAUL LAFARGUE";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3584862;48.916595;https://fiches-risques.brgm.fr/georisques/casias/SSP3889180
